[17:11:20] [INFO] received Windows console close event; shutting log-core down
[17:59:10] [INFO] received Windows console close event; shutting log-core down
[18:50:17] [INFO] received Windows console close event; shutting log-core down
[23:07:36] [INFO] received Windows console close event; shutting log-core down
[23:21:42] [INFO] received Windows console close event; shutting log-core down
[23:25:02] [INFO] received Windows console close event; shutting log-core down
[23:38:07] [INFO] received Windows console close event; shutting log-core down
[23:49:55] [INFO] received Windows console close event; shutting log-core down
[00:30:37] [INFO] received Windows console close event; shutting log-core down
[00:45:30] [INFO] received Windows console close event; shutting log-core down
[00:48:39] [INFO] received Windows console close event; shutting log-core down
[00:59:50] [INFO] received Windows console close event; shutting log-core down
[01:01:55] [INFO] received Windows console close event; shutting log-core down
[02:14:59] [INFO] received Windows console close event; shutting log-core down
[12:41:42] [INFO] received Windows console close event; shutting log-core down
[12:42:02] [INFO] received Windows console close event; shutting log-core down
[13:06:00] [INFO] received Windows console close event; shutting log-core down
[13:08:06] [INFO] received Windows console close event; shutting log-core down
[13:10:20] [INFO] received Windows console close event; shutting log-core down
[13:15:01] [INFO] received Windows console close event; shutting log-core down
[13:19:33] [INFO] received Windows console close event; shutting log-core down
[13:21:45] [INFO] received Windows console close event; shutting log-core down
[14:59:25] [INFO] received Windows console close event; shutting log-core down
[15:43:36] [INFO] received Windows console close event; shutting log-core down
[16:55:17] [INFO] received Windows console close event; shutting log-core down
[16:55:23] [INFO] received Windows console close event; shutting log-core down
[17:21:23] [INFO] received Windows console close event; shutting log-core down
[17:22:48] [INFO] received Windows console close event; shutting log-core down
[17:24:07] [INFO] received Windows console close event; shutting log-core down
[21:53:30] [INFO] received Windows console close event; shutting log-core down
[01:04:38] [INFO] received Windows console close event; shutting log-core down
[01:06:38] [INFO] received Windows console close event; shutting log-core down
[01:15:09] [INFO] received Windows console close event; shutting log-core down
[01:54:43] [INFO] received Windows console close event; shutting log-core down
[15:06:34] [INFO] received Windows console close event; shutting log-core down
[15:09:44] [INFO] received Windows console close event; shutting log-core down
[16:28:35] [INFO] received Windows console close event; shutting log-core down
[16:42:18] [INFO] received Windows console close event; shutting log-core down
[17:23:03] [INFO] received Windows console close event; shutting log-core down
[17:28:24] [INFO] received Windows console close event; shutting log-core down
[17:28:28] [INFO] received Windows console close event; shutting log-core down
[18:23:39] [INFO] received Windows console close event; shutting log-core down
[19:09:20] [INFO] received Windows console close event; shutting log-core down
[19:15:49] [INFO] received Windows console close event; shutting log-core down
[19:20:15] [INFO] received Windows console close event; shutting log-core down
[19:24:34] [INFO] received Windows console close event; shutting log-core down
[19:49:18] [INFO] received Windows console close event; shutting log-core down
[02:04:49] [INFO] received Windows console close event; shutting log-core down
[16:13:33] [INFO] received Windows console close event; shutting log-core down
[17:30:19] [INFO] received Windows console close event; shutting log-core down
[01:03:29] [INFO] received Windows console close event; shutting log-core down
[01:06:54] [INFO] received Windows console close event; shutting log-core down
[01:09:15] [INFO] received Windows console close event; shutting log-core down
[01:10:51] [INFO] received Windows console close event; shutting log-core down
